product name full,product link,price,review-count,thumbnail,categories,subcategories
"Schwalbe Rock Razor Evolution ADDIX Speedgrip 27.5"" Folding Tyre",https://www.bike-components.de/en/Schwalbe/Rock-Razor-Evolution-ADDIX-Speedgrip-27-5-Folding-Tyre-p57295/,33.57 €,,https://static.bike-components.de/cache/p/s1/5/7/Schwalbe-Rock-Razor-Evolution-ADDIX-Speedgrip-27-5-Folding-Tyre-57295-0-1547623948.jpeg,Tyres,"27.5"" Tyres"
"Schwalbe Hans Dampf Evolution ADDIX Soft 27.5"" Folding Tyre",https://www.bike-components.de/en/Schwalbe/Hans-Dampf-Evolution-ADDIX-Soft-27-5-Folding-Tyre-p57331/,33.57 €,3,,Tyres,"27.5"" Tyres"
"Schwalbe Nobby Nic ADDIX TwinSkin 27.5"" Folding Tyre",https://www.bike-components.de/en/Schwalbe/Nobby-Nic-ADDIX-TwinSkin-27-5-Folding-Tyre-p58282/,20.97 €,1,,Tyres,"27.5"" Tyres"
Schwalbe Magic Mary Evolution ADDIX Ultra Soft 27.5+ Wired Tyre,https://www.bike-components.de/en/Schwalbe/Magic-Mary-Evolution-ADDIX-Ultra-Soft-27-5-Wired-Tyre-p58336/,36.09 €,1,,Tyres,"27.5"" Tyres"
"Schwalbe Nobby Nic Evolution ADDIX Speedgrip  Ltd. Edition 27.5"" Folding Tyre",https://www.bike-components.de/en/Schwalbe/Nobby-Nic-Evolution-ADDIX-Speedgrip-Ltd-Edition-27-5-Folding-Tyre-p59221/,33.57 €,2,,Tyres,"27.5"" Tyres"
"WTB ByWay TCS Dual DNA Road Plus 27.5"" Folding Tyre",https://www.bike-components.de/en/WTB/ByWay-TCS-Dual-DNA-Road-Plus-27-5-Folding-Tyre-p59278/,41.13 €,1,,Tyres,"27.5"" Tyres"
"Maxxis Minion DHF 3C MaxxTerra EXO WT TR 27,5+ Folding Tyre",https://www.bike-components.de/en/Maxxis/Minion-DHF-3C-MaxxTerra-EXO-WT-TR-27-5-Folding-Tyre-p59656/,52.90 €,,,Tyres,"27.5"" Tyres"
"Maxxis Minion DHR II Double Down WT 27.5"" Folding Tyre",https://www.bike-components.de/en/Maxxis/Minion-DHR-II-Double-Down-WT-27-5-Folding-Tyre-p59663/,56.26 €,,,Tyres,"27.5"" Tyres"
"Schwalbe G-One Allround LiteSkin 27.5"" Folding Tyre 2018",https://www.bike-components.de/en/Schwalbe/G-One-Allround-LiteSkin-27-5-Folding-Tyre-2018-p59903/,23.49 €,,,Tyres,"27.5"" Tyres"
"Schwalbe Hurricane 27.5"" Wired Tyre",https://www.bike-components.de/en/Schwalbe/Hurricane-27-5-Wired-Tyre-p59933/,14.24 €,,,Tyres,"27.5"" Tyres"
Continental Cross King 2.6 ProTection 27.5+ Folding Tyre,https://www.bike-components.de/en/Continental/Cross-King-2-6-ProTection-27-5-Folding-Tyre-p60620/,46.18 €,1,,Tyres,"27.5"" Tyres"
"e*thirteen TRS Plus All Terrain 27.5"" Folding Tyre",https://www.bike-components.de/en/e-thirteen/TRS-Plus-All-Terrain-27-5-Folding-Tyre-p62398/,29.40 €,,,Tyres,"27.5"" Tyres"
"e*thirteen LG1 Plus Downhill 27.5"" Folding Tyre",https://www.bike-components.de/en/e-thirteen/LG1-Plus-Downhill-27-5-Folding-Tyre-p62403/,53.74 €,,,Tyres,"27.5"" Tyres"
Michelin Wild Enduro Front Gum-X 27.5 Folding Tyre 2018,https://www.bike-components.de/en/Michelin/Wild-Enduro-Front-Gum-X-27-5-Folding-Tyre-2018-p62468/,36.13 €,3,https://static.bike-components.de/cache/p/s1/6/2/Michelin-Wild-Enduro-Front-Gum-X-27-5-Folding-Tyre-2018-62468-0-1547624256.jpeg,Tyres,"27.5"" Tyres"
"Continental Race King II 27.5"" Folding Tyre",https://www.bike-components.de/en/Continental/Race-King-II-27-5-Folding-Tyre-p64941/,20.97 €,,https://static.bike-components.de/cache/p/s1/6/4/Continental-Race-King-II-27-5-Folding-Tyre-64941-0-1547624645.jpeg,Tyres,"27.5"" Tyres"
"Schwalbe G-One Speed Evolution 27.5"" Folding Tyre - 2019 Model",https://www.bike-components.de/en/Schwalbe/G-One-Speed-Evolution-27-5-Folding-Tyre-2019-Model-p65873/,44.50 €,,https://static.bike-components.de/cache/p/s1/6/5/Schwalbe-G-One-Speed-Evolution-27-5-Folding-Tyre-2019-Model-65873-0-1548424131.jpeg,Tyres,"27.5"" Tyres"
